
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      1.8
 1.69464 -0.710355  1.8 
 1.69465 -0.714357  1.8 
 1.69464 -0.718359  1.8 
 1.69461 -0.722361  1.8 
 1.69458 -0.726363  1.8 
 1.69452 -0.730365  1.8 
 1.69446 -0.734367  1.8 
 1.69437 -0.738369  1.8 
 1.69428 -0.742371  1.8 
 1.69416 -0.746373  1.8 
 1.69404 -0.750375  1.8 
 1.6939 -0.754377  1.8 

 1.4146  0.018009  1.8 
 1.41779  0.014007  1.8 
 1.42098  0.010005  1.8 
 1.42416  0.006003  1.8 
 1.42732  0.002001  1.8 
 1.43048 -0.002001  1.8 
 1.43363 -0.006003  1.8 
 1.43676 -0.010005  1.8 
 1.43989 -0.014007  1.8 
 1.443 -0.018009  1.8 
 1.4461 -0.022011  1.8 
 1.44918 -0.026013  1.8 
 1.45226 -0.030015  1.8 
 1.45532 -0.034017  1.8 
 1.45837 -0.038019  1.8 
 1.4614 -0.042021  1.8 
 1.46442 -0.046023  1.8 
 1.46742 -0.050025  1.8 
 1.47041 -0.054027  1.8 
 1.47338 -0.058029  1.8 
 1.47634 -0.062031  1.8 
 1.47928 -0.066033  1.8 
 1.48221 -0.070035  1.8 
 1.48512 -0.074037  1.8 
 1.48801 -0.078039  1.8 
 1.49088 -0.082041  1.8 
 1.49374 -0.086043  1.8 
 1.49495 -0.087746  1.8 
 1.49652 -0.090045  1.8 
 1.49924 -0.094047  1.8 
 1.50194 -0.098049  1.8 
 1.50462 -0.102051  1.8 
 1.50728 -0.106053  1.8 
 1.50992 -0.110055  1.8 
 1.51254 -0.114057  1.8 
 1.51514 -0.118059  1.8 
 1.51772 -0.122061  1.8 
 1.52028 -0.126063  1.8 
 1.52283 -0.130065  1.8 
 1.52535 -0.134067  1.8 
 1.52785 -0.138069  1.8 
 1.53033 -0.142071  1.8 
 1.53279 -0.146073  1.8 
 1.53523 -0.150075  1.8 
 1.53765 -0.154077  1.8 
 1.54005 -0.158079  1.8 
 1.54243 -0.162081  1.8 
 1.54478 -0.166083  1.8 
 1.54712 -0.170085  1.8 
 1.54944 -0.174087  1.8 
 1.55173 -0.178089  1.8 
 1.55401 -0.182091  1.8 
 1.55626 -0.186093  1.8 
 1.5585 -0.190095  1.8 
 1.56071 -0.194097  1.8 
 1.56291 -0.198099  1.8 
 1.56508 -0.202101  1.8 
 1.56723 -0.206103  1.8 
 1.56936 -0.210105  1.8 
 1.57147 -0.214107  1.8 
 1.57356 -0.218109  1.8 
 1.57563 -0.222111  1.8 
 1.57576 -0.222362  1.8 
 1.57769 -0.226113  1.8 
 1.57972 -0.230115  1.8 
 1.58174 -0.234117  1.8 
 1.58374 -0.238119  1.8 
 1.58571 -0.242121  1.8 
 1.58767 -0.246123  1.8 
 1.5896 -0.250125  1.8 
 1.59151 -0.254127  1.8 
 1.5934 -0.258129  1.8 
 1.59528 -0.262131  1.8 
 1.59713 -0.266133  1.8 
 1.59896 -0.270135  1.8 
 1.60077 -0.274137  1.8 
 1.60256 -0.278139  1.8 
 1.60433 -0.282141  1.8 
 1.60608 -0.286143  1.8 
 1.60781 -0.290145  1.8 
 1.60952 -0.294147  1.8 
 1.61121 -0.298149  1.8 
 1.61288 -0.302151  1.8 
 1.61453 -0.306153  1.8 
 1.61616 -0.310155  1.8 
 1.61777 -0.314157  1.8 
 1.61936 -0.318159  1.8 
 1.62093 -0.322161  1.8 
 1.62249 -0.326163  1.8 
 1.62402 -0.330165  1.8 
 1.62554 -0.334167  1.8 
 1.62703 -0.338169  1.8 
 1.62851 -0.342171  1.8 
 1.62997 -0.346173  1.8 
 1.6314 -0.350175  1.8 
 1.63282 -0.354177  1.8 
 1.63423 -0.358179  1.8 
 1.63561 -0.362181  1.8 
 1.63697 -0.366183  1.8 

 1.16473  0.394197  1.8 
 1.16571  0.390195  1.8 
 1.16673  0.386193  1.8 
 1.16779  0.382191  1.8 
 1.16888  0.378189  1.8 
 1.17001  0.374187  1.8 
 1.17118  0.370185  1.8 
 1.17172  0.368382  1.8 
 1.17237  0.366183  1.8 
 1.17358  0.362181  1.8 
 1.17483  0.358179  1.8 
 1.17612  0.354177  1.8 
 1.17744  0.350175  1.8 
 1.1788  0.346173  1.8 
 1.1802  0.342171  1.8 
